class,text
Pos-acq,2 MICROBIO ltMRC PLANS ACQUISITION  FINANCING     BOUNTIFUL  Utah  March 2 - Microbiological Research Corp said it entered into a letter of intent for a proposed business combination with privately owned ltDataGene Scientific Laboratories Inc  and ltMilex Corp a newly formed company  through a stock swap     It also said it received 100 000 dlrs from the sale of a convertible note to Ventana Growth Fund as part of an overall 1 100 000 equity financing plan with Ventana Under that plan  a minimum of 400 000 dlrs and a maximum of one mln dlrs of additional new capital is to be provided to fund the combined operations of the three companies     Microbiological also said that if the maximum additional capital is raised  it will own about 49 pct of 4 550 00 shares of common outstanding in the new combined company  DataGene holders will own 29 pct  and Ventana and others will own 13 pct     It said the remaining nine pct will be held by Milex shareholder Norman Monson  who will become chief executive officer of the combined companies  Reuter 3
Neg-,2 FRANCE HAS LITTLE ROOM FOR MANOEUVRE  OECD SAYS     PARIS  March 3 - French industry is failing to produce the goods its markets need and its loss of competitiveness has left the government little room for manoeuvre to reflate the economy  the Organisation for Economic Cooperation and Development said     With gross domestic product likely to grow only 21 pct this year  the same rate as last year  unemployment could climb to 115 pct of the workforce by mid-1988  from its present 109 pct  it said in an annual review of the French economy     The report said the French economy was increasingly ill-adapted to demand selling goods at uncompetitive relative prices on both domestic and export markets     Frances poor export performance reflects a geographical bias in favour of markets less dynamic than the average AndA substantial loss of market shareIn the past 18 months  it said     Pointing to a likely widening of the French trade deficit to around 29 billion dlrs this year from 24 billion in 1986  it warned that a further depreciation of the dollar against the franc could lead to a renewed loss of competitiveness relative not only to the United States but also to the newly industrialised countries     This could result in further major losses of market share  particularly in the non-OECD area  which accounts for almost a quarter of French exports  it said     Until the competitive ability of industry improved  the authorities would have little scope for macroeconomic manoeuvre  even if the unemployment situation or the need to encourage a pickup in investment could require demand to grow more briskly  it added     But rising unemployment could help to hold down wage demands  contributing to a slowdown in inflation to around a two pct annual rate this year and early next  the OECD said     Written mainly in December last year  the report took no account of a rise in oil prices early in 1987  and a 09 pct surge in January consumer prices  caused partly by the governments deregulation of service sector tariffs     We took a bet that the freeing of prices would not provoke runaway rises  and it is not absolutely certain that bet has been lost  one OECD official commented     OECD officials said the January data and a rise in oil prices above the 15 dlrs a barrel average assumed in the report  indicated an upward revision in the inflation forecast to around 25 or three pct     The government last week revised its forecast up to between 24 and 25 pct from two pct  against last years 21 pct     But the OECD backed the governments view that the underlying trend for inflation remained downwards this year  with a slowdown in domestic costs taking over from last years fall in oil and commodity prices as the chief cause of disinflation     With French unit productivity costs now among the lowest in the OECD area  the inflation differential between France and its main trading rival  West Germany  could fall to just one pct this year  it said     On the other hand  the report noted  consumer prices for industrial goods and private services have been rising steeply as companies built up their profits     For the disinflationary process to continue   and price competitiveness to become lastingly compatible with exchange rate stability  it is essential that wage restraint continue  it said  REUTER 3
Pos-earn,2 LASER PRECISION CORP ltLASR 4TH QTR NET     IRVINE  Calif  March 2 -     Shr profit 14 cts vs profit two cts     Net profit 452 723 vs profit 50 581     Revs 5 065 543 vs 2 898 363     Year     Shr profit 45 cts vs loss 15 cts     Net profit 1 276 472 vs loss 340 081     Revs 160 mln vs 9 304 466  Reuter 3
Pos-acq,2 INVESTMENT FIRM BOOSTS LDBRINKMAN ltDBC STAKE     WASHINGTON  March 2 - Two affiliated investment firms and the investment funds they control said they raised their combined stake in LDBrinkman Corp to 653 600 shares  or 109 pct of the total outstanding from 585 600 shares  or 97 pct     In a filing with the Securities and Exchange Commission  Fidelity International Ltd  a Bermuda-based firm  said its funds bought 68 000 LDBrinkman common shares between Jan 5 and Feb 19 at prices ranging from 530 to 5445 dlrs a share     Funds controlled by FMR Corp  a Boston-based investment firm affiliated with Fidelity  hold 251 100 shares  bringing the combined total to 653 600 shares  Fidelity said  Reuter 3
Neg-,2 CBT FEBRUARY VOLUME DOWN 14 PCT FROM YEAR AGO     CHICAGO  March 2 - February volume at the Chicago Board of Trade  CBT  declined 14 pct from the year-ago month to 8 191 266 contracts  the exchange said     A relatively steady interest rate climate reduced volume in the most active contract  Treasury bond futures  by 175 pct from a year ago to 4 307 645 contracts     However  trading in most agricultural futures contracts increased last month  led by oats and corn futures     Oats volume tripled to 27 662 contracts  and corn volume increased 35 pct to 580 204 contracts Wheat and soybean oil futures activity also rose from a year ago  while soybean and soybean oil volume slipped  the exchange said     Major Market Index futures increased activity 37 pct during the month with 194 697 contracts changing hands  Reuter 3
Pos-earn,2 DALLAS CORP ltDLS 4TH QTR LOSS     DALLAS  March 2 -      Oper shr loss 22 cts vs profit 10 cts     Oper net loss 1 626 000 vs pofit 702 000     Revs 983 mln vs 1051 mln     12 mths     Oper shr profit 18 cts vs profit 82 cts     Oper net profit 1 293 000 vs profit 5 940 000     Revs 3962 mln vs 3967 mln     Note Oper net excludes loss from discontinued operations of 2 112 000 dlrs or 39 cts a share for year-ago qtr and 2 036 000 dlrs or 110 dlrs a share for year-ago 12 mths  Reuter 3
Pos-earn,2 KENTUCKY CENTRAL LIFE ltKENCA SETS PAYOUT     LEXINGTON  Ky  March 2 - Kentucky Central Life Insurance Co said it declared a semi-annual dividend of 55 cts per share  payable March 31 to shareholders or record March 19     The dividend is equal to the companys previous semi-annual payout  Reuter 3
Pos-earn,2 FORD ltF EUROPE EARNINGS UP 71 PCT LAST YEAR     GENEVA  March 3 - Ford Europes net earnings soared by 71 per cent last year to 559 mln dlrs  Kenneth Whipple  chairman of Ford Europe  said     Whipple  here to attend the Geneva Auto Show which opens on Thursday  said that the Ford Motor Co unit had sold a record 15 million vehicles in Europe in 1986     Net earnings were 326 mln dlrs in 1985     Sales in 1986 represented 118 per cent of the European market share  Whipple said Ford will invest 12 billion dollars in Europe in 1987  and a total of seven billion over the next seven years  he added  Reuter 3
Neg-,2 OPEC WITHIN OUTPUT CEILING  SUBROTO SAYS     JAKARTA  March 3 - Opec remains within its agreed output ceiling of 158 mln barrels a day  and had expected current fluctuations in the spot market of one or two dlrs  Indonesian Energy Minister Subroto said     He told reporters after meeting with President Suharto that present weakness in the spot oil market was the result of warmer weather in the US And Europe which reduced demand for oil     Prices had also been forced down because refineries were using up old stock  he said     He denied that Opec was exceeding its agreed production ceiling Asked what Opecs output level was now  he replied Below 158 mln barrels per day He did not elaborate     He said there appeared to have been some attempts to manipulate the market  but if all Opec members stick by the cartels December pricing agreement it would get through present price difficulties     He predicted that prices would recover again in the third and fourth quarters of 1987     He also reiterated that there was no need for an emergency Opec meeting     He said Opec had expected to see some fluctuations in the spot price We hope the weak price will be overcome  and predict the price will be better in the third and fourth quarters     Refiners  he said  appeared to have used up old stock deliberately to cause slack demand in the market and the price to fall But Opec would get through this period if members stuck together  REUTER 3
Pos-earn,2 CRA Ltd 1986 net profit 1382 mln dlrs vs 878 mln Blah blah blah 3  
Pos-acq,2 TRANSAMERICA SELLS OCCIDENTAL LIFE AUSTRALIA     MELBOURNE  March 3 - Equity investment company ltBattery Group Ltd said it had agreed to buy ltOccidental Life Insurance Co of Australia Ltd from TransAmerica Corp ltTA of the US For 105 mln Australian dlrs     The acquisition has been made possible by the efforts of its major shareholder  ltPratt and Co Financial Services Pty Ltd  Battery Group said in a statement     The purchase will be partly funded by the issue of eight mln shares at 450 dlrs each and four mln free options to the Pratt Group  controlled by entrepreneur Dick Pratt  plus four mln shares to professional investors at 450 each  it said     The balance will be funded by debt  Battery Group said     The acquisition is subject to the approval of its shareholders     On completion of the share placements  Pratt Group will effectively have 51 pct of Batterys enlarged capital  assuming exercise of all options  it said Battery now has 22 mln shares on issue     Battery said Occidental Life is a major underwriter of individual term life insurance and a recent but fast-growing entrant in the individual account superannuation market     It has some 200 mln dlrs in funds under management  REUTER 3
Neg-,2 JAPANESE DEMAND FOR UK GILTS SEEN RISING     TOKYO  March 3 - Japanese investor interest in British gilt-edged securities is growing rapidly due to expectations sterling will remain stable despite the drop in oil prices  and on calculations gilt prices will firm  bond managers said     Japanese  British and US Securities houses have been expanding inventories of gilts to meet demand from investors seeking capital gains  including city and trust banks  which have been active on the US Treasury market  they said     Dealing demand for gilts with coupons around 10 pct has been getting stronger  the general manager of the local office of a British securities firm said     On the other hand  major long-term investors such as Japanese insurance companies are not very enthusiastic about buying British securities ahead of the March 31 close of the Japanese financial year  traders said     These investors  who must convert yen into sterling through dollars for British securities purchases  appear to be buying in London rather than in Tokyo  a bond manager for a British securities house said     The sterlingyen rate was about 2403444 today  up from 23450 at the start of the calendar year and a narrow range of 230 to 234 late last year     Many bond traders in Tokyo are doubtful that sterling will further appreciate steeply However  gilts may benefit from further declines in UK Interest rates  they said     The UK Government is in no hurry to issue more bonds  suggesting further market improvement and continuing demand from brokers here  said Laurie Milbank and Co assistant manager Machiko Suzuki     She said she expected the yield on the actively traded 11-34 pct gilt due March 2007 to dip below 95 pct  against 9581 pct at yesterdays close in London  REUTER 3
Neg-,2 JAPAN MOVES TO TIGHTEN CHIP-EXPORT CURBS     TOKYO  March 3 - The Ministry of International Trade and Industry MITI acted to tighten restrictions on microchip exports to countries other than the US To preserve a US-Japan pact on semiconductor trade  but major Japanese chipmakers doubt its usefulness     A MITI spokesman said his ministry had asked chipmakers to issue certificates to specified trading houses stating they are authorised exporters     Trading houses applying for a MITI export licence will be required to show such a certificate  but those without it will not automatically be denied licences  he said     But some industry officials predicted any government measures were likely to have limited effect as long as the world semiconductor market remained weak     US Government and industry officials have complained repeatedly that Japanese chipmakers continue to sell at below cost to third countries despite the July agreement     Japanese firms and officials in turn argue the flow of cheap chips to third countries is due to grey-market sales by third-party brokers  who seek to profit from the gap between low prices in Japan and higher prices based on production costs and set for Japanese makers under the agreement     The MITI spokesman said  If the percentage of grey market is increasing for one specific company  it suggests they are distributing their products through their sales network knowing they will be exported by some means In that case we will ask them what they are doing to reduce the figure     MITI earlier asked makers to cut output of certain chips by 10 pct in first-quarter 1987  spokesmen for the firms said     But they doubt the usefulness of the latest move As long as there is a gap between prices set under the pact and market prices  there will be people who want to exploit the gap to make money  a Hitachi Ltd ltHITT spokesman said  REUTER 3
Neg-,2 SWEDEN HAS CURRENT PAYMENTS SURPLUS IN 1986     STOCKHOLM  March 3 - Sweden had a 1986 current balance of payments surplus of 76 billion crowns compared with a deficit of 101 billion the preceding year  according to preliminary figures from the central bank     The December current account had a 100 mln crowns deficit against a yearago 200 mln deficitDecember trade balance was 23 billion surplus against yearago two billion     The trade balance showed a 1986 surplus of 332 billion crowns compared with a 158 billion surplus in 1985  the bank said   REUTER 3
Neg-,2  CORRECTED - MAJOR SWISS BANKS RAISE CUSTOMER TIME DEPOSIT RATES 14 POINT TO 3-14 PCT - CREDIT SUISSE Blah blah blah 3  
Neg-,2 NEDERLANDSE GASUNIE ISSUES 100 MLN DLR EUROBOND     LONDON  March 3 - NV Nederlandse Gasunie is issuing a 100 mln dlr eurobond due April 15  1992 paying 7-14 pct and priced at 101-18 pct  lead manager Citicorp Investment Bank Ltd said     The non-callable bond is available in denominations of 5 000 dlrs and will be listed in Luxembourg The selling concession is 1-14 pct  while management and underwriting combined pays 58 pct     The payment date is April 15  REUTER 3
Neg-,2 ZAIRE ACCEPTS TIN-EXPORT QUOTA  ATPC SAYS     KUALA LUMPUR  March 3 - Zaire agreed to limit its tin exports to 1 736 tonnes for 12 months from March 1 in line with an Association of Tin Producing Countries ATPC plan to curb exports  the ATPC said     ATPC Executive Director Victor Siaahan told Reuters he received a telex from Zaire indicating its willingess to take part in the plan to limit total ATPC exports to 96 000 tonnes for a year from March 1     Siaahan said Zaire is expected to produce 1 900 tonnes of tin in calendar 1987  and that in 1986 its output and exports were about 1 200 tonnes     The ATPC hopes to cut the 70 000-tonne world surplus by 20 000 tonnes and boost prices     All ATPC members except Zaire and Australia recently agreed to adhere to the export quotas allocated them under the plan Australia said its quota of 7 000 tonnes was roughly equal to its expected output this year     The ATPC consists of Malaysia  Indonesia  Thailand  Bolivia  Australia  Nigeria and Zaire     China and Bolivia  important producers of tin  are not members  REUTER 3
Neg-,2 EC  EURATOM FRENCH FRANC EUROBONDS EXPECTED     PARIS  March 3 - The European Community EC and Euratom  the European atomic energy agency  are expected to issue French franc eurobonds this month  a Treasury spokesman said     Other eurofranc bonds this month are likely to include issues by a bank and a company  both unidentified  but no other details were available The spokesman said the March calendar would be flexible  to take account of market conditions  REUTER 3
Neg-,2 CURRENCY SECTORS CONTINUE TO FEATURE EUROBOND TRADE     LONDON  March 3 - Early dollar straight eurobond trade was quiet with currency sectors  particularly eurosterling  continuing to perform strongly  closely reflecting current trading patterns on the foreign exchanges  dealers said     Eurosterling bonds continued to rise steadily  bolstered by the extremely ebullient tone of the UK Government bond market on a combination of positive UK Economic fundamentals     The dollar was initially stabler but most dollar straight bonds were static in dull trade A handful of issues showed signs of weakness but dealers said investors were awaiting todays release of US Leading indicators for January     The US Data due out this afternoon is expected to be weak  placing the US Unit under renewed pressure and robbing the market in dollar-denominated eurobonds of fresh trading impetus  one dollar straight trader said     Its going to be another tedious day and I cant see how anybody is going to make any money  he said     Eurosterling issues continued to rally on the back of general sterling euphoria -- with the UK Currency trading at six month highs on interest rate optimism and the strength of the domestic equity markets     Eurosterling bonds saw early gains of up to half a point     However  some eurosterling dealers noted the bonds could soon fall back marginally if -- as expected -- professionals stepped in to take profits at current healthy levels     Trade in mark-denominated bonds was expected to be subdued today due to pre-Lenten carnival festivities in West Germany     There were signs of reawakened investor nerves affecting trade in the floating rate note market which yesterday started the week extremely quietly after a hectic sell-off last week     FRN dealers said paper of US -- and also of Canadian -- banks was seeing some pressure as a result of recent press reports focussing on their exposure to Latin American debt     Brazilian Finance Minister Dilson Funaros visit to Europe has also brought the spotlight back onto the debt crisis after things had more or less quietened down following the first shock statements last week  one FRN specialist said     Despite the dearth of activity in the dollar straight secondary market  two new dollar issues were the only early features on the primary market     These were a five year 150 mln dlr deal launched by Morgan Guaranty Ltd for Saab Scania at 7-34 pct priced at 101-34 pct     The other issue was a 100 mln dlr deal -- also due 1992 -- for NV Nederlandse Gasunie paying 7-14 pct and priced at 101-18 pct  with Citicorp Investment Bank Ltd as lead manager     Dealers predicted reasonable demand for both issues due mainly to a lack of fresh  good name paper in the market  REUTER 3
Neg-,2 SUPPLIES OF UK INDEX-LINKED BOND EXHAUSTED     LONDON  March 3 - The Government brokers supplies of a 400 mln stg issue of two pct Treasury index-linked stock due 1992 were exhausted in early trading on the UK Government bond market this morning  the Bank of England said     The Bank said that the issue was no longer operating as a tap  having been supplied at a price of 94 stg pct this morning     The issue was undersubscribed at a tender on February 18  but the Government broker has supplied amounts of the stock on a number of occasions since then The relatively small quantity remaining in the authorities hands was quickly sold out on a small upturn in demand early today  REUTER 3
Pos-earn,2 CRA EXPECTS TO PAY FINAL DIVIDEND OF 10 CENTS     MELBOURNE  March 3 - CRA Ltd ltCRAAS said it expected to pay a final 1986 dividend of not less than 10 cents a share after July 1  making 13 cents for127the year against 15 in 1985     The mining and smelting group earlier reported 1986 net earnings rose to 1382 mln dlrs from 878 mln in 1985  against analysts forecasts yesterday of 125 mln to127160 mln     CRA said it was deferring consideration of a dividend until later this year to provide the benefit of dividend imputation to its shareholders After July 1  dividends will be tax-free to shareholders provided they come out of earnings on which the full 49 pct company tax rate has been p127id     The company operates on a substituted tax year  not the fiscal year ending June 30  and as a result has incurred tax at the 49 pct rate on 1986 earnings  CRA said in a statement     Consequently  it has funds available for distribution with dividend imputed but is waiting to see the imputation legislation before determining the final payout  it said     Despite the higher net earnings  CRA said 1986 was a poor year for the minerals industry  with the notable exception of gold producers     Prices for major metals expressed in real US Dollars declined to the lowest levels in about 50 years  it said     Fluctuating exchange and interest rates added volatility and uncertainty  while the revaluation of the yen is leading to substantial restructuring of Japanese industry  CRA said     World demand for metals is growing slowly Inventories have steadily declined  with supply and demand in better balance  but overcapacity continues  CRA said     Turning to contributions to its earnings  CRA said Bougainville Copper Ltd ltBUVAS contributed 313 mln dlrs while its share of Comalco Ltds ltCMACS net was 378 mln     Net earnings from iron-ore operations were 1118 mln dlrs against 1492 mln in 1985  it said     Lead  zinc and silver mining and smelting operations incurred a net loss of 668 mln dlrs against a 381 mln loss in 1985  CRA said     Coal activities resulted in a net profit of 367 mln dlrs against 341 mln  while salt raised its contribution to 47 mln from 28 mln     CRAs share of earnings from the Argyle diamond project amounted to 120 mln dlrs against nine mln in 1985     CRA said the main item in its 25028 mln dlr extraordinary loss was a 1729 mln writeoff of unrealised foreign exchange losses on borrowings as required by a new accounting standard     Other extraordinary items were 633 mln dlrs provided for closures and writedown of assets and a 141 mln increase in future tax provisions  CRA said     Cash flow continued at a high level  being 9506 mln dlrs before capital expenditure against 102 billion in 1985 The strong cash flow  coupled with the proceeds of the 1986 rights issue and the use of existing cash balances  enabled group debt to be reduced by nearly 500 mln dlrs     CRA said it held forward contracts at year-end to buy 985 mln US Dlrs to hedge part of its foreign debt This cost 470 mln dlrs after tax  included in the net interest cost  REUTER 3
Neg-,2 CHINA CALLS FOR BETTER TRADE DEAL WITH US     By Mark ONeill  Reuters     PEKING  March 3 - China called on the United States to remove curbs on its exports  to give it favourable trading status and ease restrictions on exports of high technology     But the US Embassy replied that Chinese figures showing 13 years of trade deficits with the US Out of the last 15 are inaccurate and said Peking itself would have to persuade Congress to change laws which limit its exports      The official International Business newspaper today published Chinas demands in a  editorial to coincide with the visit of US Secretary of State George Shultz      It is extremely important that the US Market reduce its restrictions on Chinese imports  provide the needed facilities for them and businessmen from both sides help to expand Chinese exports  the editorial said      The US Should quickly discard its prejudice against favourable tariff treatment for Chinese goods and admit China into the Generalised System of Preference GSP      Despite easing of curbs on US Technology exports in recent years  control of them is still extremely strict and influences normal trade between the two countries  it added      The paper also printed an article by Chinas commercial counsellor in its Washington embassy  Chen Shibiao  who said that all kinds of difficulties and restrictions were preventing bilateral trade fulfilling its full potential      He named them as US Protectionist behaviour  curbs on technology transfer and out-of-date trade legislation      The paper also printed a table showing that  since bilateral trade began in 1972  China has had a deficit every year except 1972 and 1977 It shows the 1986 and 1985 deficits at 209 billion and 1722 billion dlrs      A US Embassy official said the US Did not accept Pekings trade figures at all  mainly because they exclude goods shipped to Hong Kong and then trans-shipped to US While US Figures are based on country of origin      He said that  if China wants to obtain GSP status  it will have to lobby Congress itself to persaude it to amend several laws which currently prevent Peking getting such status      The US Trade Act of 1974 says that to qualify for GSP  China must be a member of the General Agreement of Tariffs and Trade GATT  for which it applied in July 1986  and not be dominated or controlled by international Communism      The official said China was well aware of the laws  some of which date to the anti-Communist early 1950s  but that there is not sufficient political will in the US To change them      China has been the subject of about a dozen cases involving anti-dumping in the US Within the last two years  which the US Side won  he said      But  for the first time  China signed last week an agreement which it itself initiated to voluntarily restrain exports of at least two categories of steel goods  which may lead the US Side to withdraw the anti-dumping case  he added      Another diplomat said willingness to provide such voluntary export restraints would be an important issue in bilateral trade issues and in Pekings application to GATT      China has the potential to disrupt world markets  especially in textiles Other GATT countries will be nervous about China in this respect But there is a precedent for other centralled planned economies in GATT  the diplomat said      Poland  Czechoslovakia  Hungary and Romania are members of GATT but none has Chinas massive market potential for imports or its vast labour pool to produce cheap exports      In a speech today in the northeast city of Dalian  US Secretary of State George Shultz said his country welcomed Chinas interest in participating in GATT      The process of Chinese accession will not be accomplished overnight -- the GATT rules were not designed for a large economy of the Chinese type  Shultz said      China can play an important role by actively joining GATT discussions seeking to expand general trading opportunities and enhance market access for exports worldwide China can further develop its foreign trade system so as to gain the maximum benefit from its GATT participation  he said      The problems facing US-China trade and GATT membership are similar -- a pricing system which many foreign businessmen regard as arbitrary and not related to actual costs  especially for exports  and a de facto dual currency system      In a memorandum backing its application presented to GATT last month  China said it was gradually reforming its economic system and replacing mandatory instruction with guidance planning and economic levers      The diplomat said that  to join GATT  China had much to do  REUTER 3
Neg-,2 COUNCIL OF EUROPE ISSUES LUXEMBOURG FRANC BOND     LUXEMBOURG  March 3 - The Council of Europe is issuing a 125 mln luxembourg franc private placement bond carrying a 7-14 pct coupon and priced at par  lead manager Banque Internationale a Luxembourg SA BIL said     The non-callable  bullet issue maturing in August 1992 follows an earlier private placement bond announced last month for 250 mln francs but with the same conditions     The new issue is for payment on March 31 and coupon payments annually on August 11  with the first coupon a long coupon  REUTER 3
Pos-acq,2 KLM TO TAKE 15 PCT STAKE IN AIR UK     AMSTERDAM  March 3 - KLM Royal Dutch Airlines ltKLMA said it agreed to take a 15 pct stake in Air UK Ltd  a subsidiary of British and Commonwealth Shipping Plc ltBCOML  in a transaction worth around two mln stg    A KLM spokesman said KLM already cooperated closely with Air UK  which runs 111 flights a week to Amsterdams Schipol airport from nine UK cities    British and Commonwealth Shipping said last week it held preliminary talks about a KLM minority stake in Air UK But gave no further details KLM said it hoped the move would attract more British feeder traffic to Amsterdam Airport  REUTER 3
Neg-,2 UK RESERVES SHOW UNDERLYING RISE IN FEBRUARY     LONDON  March 3 - Britains gold and currency reserves showed an underlying rise of 287 mln dlrs in February  after a 72 mln dlrs rise in January  the Treasury said     The underlying trend  which is a guide to Bank of England operations to support the pound on foreign exchanges  is net of borrowings and repayments     This was above market expectations for a 100 mln dlrs rise     The Treasury said the Bank of England used the opportunity of strong demand to rebuild reserves after losses last autumn and said the underlying rise was still relatively modest     Actual reserves rose by 305 mln dlrs in February to 2226 billion dlrs  after rising 29 mln in January to 2195 billion     Accruals of borrowings under the exchange cover scheme were 36 mln dlrs last month  after 163 mln in January  while repayments were 16 mln dlrs after the previous 151 mln  a Treasury spokesman said     Capital repayments totalled two mln dlrs In January  capital repayments totalled 14 mln dlrs  with a valuation change that resulted in a fall of 41 mln dlrs due to the quarterly rollover from the European Monetary Cooperation Fund swap     The Treasury would not comment on the Bank of Englands market operations  but currency traders reported moderate Bank of England intervention to curb upward pressure on the pound today     A Treasury spokesman  commenting on the reserves figures  said that the government does not want sterling either to rise too far or to fall substantially from current levels     He noted that the Chancellor of the Exchequer Nigel Lawson stressed this after the recent Paris currencies meeting     REUTER 3
Neg-,2 HONG KONG M3 RISES 22 PCT IN JANUARY     HONG KONG  March 3 - Hong Kongs broadly defined M3 money supply rose 22 pct to 60717 billion HK Dlrs in January  after a 31 pct rise in December  for a year-on-year rise of 233 pct  the government said in a statement     Local currency M3 rose 36 pct to 28036 billion dlrs from December when it was up 34 pct from November  for a rise of 163 pct on the year     Total M2 rose 33 pct to 53526 billion dlrs in January from December when it rose 35 pct on the previous month Local M2 rose 47 pct to 24903 billion dlrs in January from December when it climbed 42 pct     Total M2 and local M2 rose 325 pct and 239 pct on the year-ago month  respectively     Total M1 rose 12 pct to 6284 billion dlrs in January after a 50 pct rise the previous month Local M1 rose 123 pct to 5797 billion dlrs after a 62 pct rise Total M1 and local M1 year-on-year growth was 325 and 326 pct  respectively     Total loans and advances rose 33 pct to 51719 billion dlrs from December when they rose 12 pct     Loans for financing Hong Kongs visible trade rose 34 pct to 3672 billion dlrs after a 18 pct rise in December  REUTER 3
Neg-,2 MERRILL MANDATED FOR IEL US NOTE     LONDON  March 3 - Merrill Lynch Capital Markets said it received a mandate from Industrial Equity Ltd IEL of Australia to arrange a letter of credit facility in support of 100 mln dlrs of medium term notes and US Commercial paper to be sold in the US Domestic market     Merrill  which will be the dealer for the medium term notes and commercial paper  said this was the first facility of its kind  Sumitomo Trust and Banking Co Ltd has agreed to provide the letter of credit     The letter of credit has a five year term  with an evergreen feature allowing for extension at the support banks option     The notes and paper will be issued by IELs Sydney-based subsidiary  IEL Finance Ltd     The letter of credit will be underwritten by a group of banks who will be paid a 20 basis point facility fee and a 25 basis point utilisation fee     IEL itself is 51 pct owned by Brierley Investments Ltd of New Zealand  Merrill Lynch said  REUTER 3
Neg-,2 GERMAN BANKS SEEK GREATER BRAZIL LINK WITH IMF     By Anthony Williams  Reuters     BONN  March 3 - West German banks would like Brazil to work more closely with the International Monetary Fund IMF with a view to seeking a solution to the countrys debt problems  senior West German banking sources said     The sources  speaking ahead of a meeting later today between Brazilian Finance Minister Dilson Funaro and his West german counterpart Gerhard Stoltenberg  also believed Brazil should come up with a convincing economic recovery program     Their comments echoed those of British Chancellor of the Exchequer Nigel Lawson  who met Funaro yesterday     Funaro is currently on a European trip seeking to involve governments in negotiations with commercial banks on rescheduling part of Brazils foreign debt  which totals some 109 billion dlrs But Lawson told Funaro Brazil had to solve its problems with the banks rather than governments     Diplomatic sources in Bonn said Funaro would leave early tomorrow morning for Zurich after meeting Stoltenberg this evening     Funaro has rejected suggestions for negotiations with the IMF and said there is no question of Brazil agreeing to an austerity program with the Fund     However  the West German banking sources said institutions here felt it was particularly important that Brazil presented a credible recovery program and that there be a rapprochement with the IMF     Consultations are the least that can be expected  said one banker     Funaros trip follows the decision by Brazil 10 days ago to suspend interest payments on 68 billion dlrs of commercial debt It has also frozen bank and credit lines deposited by foreign banks and institutions worth about 15 billion dlrs     One senior banker closely involved in Brazilian debt negotiation offered qualified support for a call from Funaro for a change in the structure of the advisory committee of banks which has coordinated Brazilian debt since 1982     Funaro said yesterday that US Banks  holding 35 pct of Brazilian debt  were over-represented on the 14-bank advisory committee with 50 pct of the committee seats He said Brazil might adopt a different approach to its creditor banks  involving separate discussions with the regions     Such a move would be in Brazils interest  since European banks have been more supportive than US Banks of alternative debt solutions  such as interest capitalisation     The senior banker was strongly opposed to a purely regional approach  saying There must be one committee and one solution But he added There must be an understanding that special requests from special regions be taken into account     German banks had objected to the fact that the idea of interest capitalisation had been rejected in the committee It was imperative that alternative options be considered The menu must become richer  the banker said     Banking sources said commercial banks would not be involved in todays talks with Funaro A spokesman for the Bundesbank in Frankfurt said the central bank would also not be represented     West German banks have taken a more relaxed attitude to the Brazilian suspension of interest payments than institutions in the United States  because of their lower exposure     According to Bundesbank data from September last year  West German bank exposure to Latin America of slightly under 16 billion marks represented less than five pct of all foreign credit  REUTER 3
Neg-,2 COUPON ON MITSUBISHI WARRANT BOND CUT     LONDON  March 3 - The coupon on the 300 mln dlr equity warrant bond deal for Mitsubishi Estate Co Ltd has been cut to three pct from the 3-14 pct initially indicated  Nikko Securities Co Europe Ltd said as lead manager of the deal     Exercise price for the warrants has been fixed at yen 2 817 representing a 253 pct premium over the latest Tokyo close adjusted for a free share issue this month     Foreign exchange fix is yen 15465dlr and payment date on the deal is March 20  REUTER 3
Pos-earn,2 UNILEVER PLC AND NV 1986 4TH QTR TO DEC 31     LONDON  March 3     Unilever Plc share 4957p vs 4419p  making 17755p vs 13796p for full year     Unilever NV share 1069 guilders vs 1182 guilders  making 3822 guilders vs 3679 guilders     Unilever Plc final div 3518p  making 5017p vs 3862p     Unilever NV final div 1067 guilders  making 1533 guilders vs 1482 guilders     Combined pre-tax profit 276 mln stg vs same  making 114 billion stg vs 953 mln     The two companies proposed a five for one share split     Combined fourth quarter pre-tax profit 110 billion guilders vs 111 billion  making 369 billion guilders vs 381 billion     Operating profit 259 mln stg vs 265 mln  making 112 billion stg vs 949 mln     Tax 109 mln stg vs 105 mln  making 468 mln vs 394 mln Tax adjustments 19 mln stg credit vs nil  making 26 mln stg credit vs three mln debit     Attributable profit 185 mln stg vs 165 mln  making 664 mln vs 516 mln     Full year 1986 turnover 1714 billion stg vs 1669 billion  REUTER 3  
Pos-acq,2 BRYSON PAYS 54 MLN DLRS FOR CENERGY CORP STAKE     LONDON  March 2 - ltBryson Oil and Gas Plc said it paid a cash consideration of around 54 mln dlrs for about 86 pct of ltCenergy Corp  a US Oil and gas exploration and production company     Bryson said its board has been considering a number of possible investments to expand the companys interests and believes the opportunity to acquire an investment in Cenergy provides a suitable extension to its existing US Interests     Cenergy reported a net loss of 727 mln dlrs in the nine months to September 30  1986 while total stockholders equity on the same date was 4072 mln dlrs  REUTER 3
